MicrotypeID,Mode,VMTPerHour
A_1,freight_combo,38948
A_1,freight_single,61550
A_2,freight_combo,33682
A_2,freight_single,61586
A_3,freight_combo,262290
A_3,freight_single,280255
A_4,freight_combo,9257
A_4,freight_single,13370
A_5,freight_combo,38450
A_5,freight_single,43373
A_6,freight_combo,4731
A_6,freight_single,4785
B_1,freight_combo,6454
B_1,freight_single,8585
B_2,freight_combo,15158
B_2,freight_single,27876
B_3,freight_combo,112658
B_3,freight_single,69006
B_4,freight_combo,3736
B_4,freight_single,3868
B_5,freight_combo,46811
B_5,freight_single,37247
B_6,freight_combo,120167
B_6,freight_single,53241
C_1,freight_combo,312
C_1,freight_single,359
C_2,freight_combo,3084
C_2,freight_single,3934
C_3,freight_combo,34593
C_3,freight_single,14088
C_4,freight_combo,1538
C_4,freight_single,1134
C_5,freight_combo,24662
C_5,freight_single,20574
C_6,freight_combo,22278
C_6,freight_single,10753
D_2,freight_combo,209
D_2,freight_single,204
D_4,freight_combo,0
D_4,freight_single,0
D_5,freight_combo,6459
D_5,freight_single,4997
D_6,freight_combo,15289
D_6,freight_single,7348
E_2,freight_combo,215
E_2,freight_single,574
E_3,freight_combo,4455
E_3,freight_single,1316
E_5,freight_combo,1561
E_5,freight_single,1528
E_6,freight_combo,1296
E_6,freight_single,401
F_1,freight_combo,377
F_1,freight_single,541
F_2,freight_combo,6807
F_2,freight_single,13681
F_3,freight_combo,83434
F_3,freight_single,62851
F_4,freight_combo,693
F_4,freight_single,1311
F_5,freight_combo,33476
F_5,freight_single,27616
F_6,freight_combo,63043
F_6,freight_single,16680
