MicrotypeID,Population,PopulationGroupTypeID
A_1,114633,LowIncNoVehSenior
A_1,313426,HighIncVehSenior
A_1,308326,LowIncNoVeh
A_1,293421,LowIncVehSenior
A_1,2862512,HighIncVeh
A_1,10026,HighIncNoVehSenior
A_1,1650852,LowIncVeh
A_1,115819,HighIncNoVeh
A_2,7674,HighIncNoVehSenior
A_2,436957,HighIncVehSenior
A_2,1174162,LowIncVeh
A_2,14630,HighIncNoVeh
A_2,86912,LowIncNoVeh
A_2,218747,LowIncVehSenior
A_2,21516,LowIncNoVehSenior
A_2,4033494,HighIncVeh
A_3,2628493,HighIncVeh
A_3,29080,LowIncNoVehSenior
A_3,276318,HighIncVehSenior
A_3,25972,LowIncNoVeh
A_3,13548,HighIncNoVeh
A_3,150269,LowIncVehSenior
A_3,759511,LowIncVeh
A_3,2866,HighIncNoVehSenior
A_4,51470,HighIncVehSenior
A_4,494245,HighIncVeh
A_4,63424,LowIncVeh
A_4,1283,LowIncNoVehSenior
A_4,22541,LowIncVehSenior
A_5,171060,HighIncVehSenior
A_5,12060,HighIncNoVeh
A_5,45872,LowIncVehSenior
A_5,1283454,HighIncVeh
A_5,3840,LowIncNoVehSenior
A_5,220921,LowIncVeh
A_5,528,HighIncNoVehSenior
A_5,18800,LowIncNoVeh
A_6,1577,LowIncVeh
A_6,7710,LowIncVehSenior
A_6,681,HighIncVehSenior
A_6,6227,HighIncVeh
B_1,158492,HighIncVeh
B_1,542768,LowIncVeh
B_1,15473,LowIncNoVehSenior
B_1,116752,LowIncNoVeh
B_1,23757,HighIncVehSenior
B_1,62080,LowIncVehSenior
B_2,16259,LowIncNoVehSenior
B_2,160218,HighIncVehSenior
B_2,59225,LowIncNoVeh
B_2,1027865,LowIncVeh
B_2,1407483,HighIncVeh
B_2,1357,HighIncNoVehSenior
B_2,130736,LowIncVehSenior
B_2,4642,HighIncNoVeh
B_3,36369,LowIncVehSenior
B_3,54946,LowIncNoVeh
B_3,51276,HighIncVehSenior
B_3,436962,LowIncVeh
B_3,782,HighIncNoVeh
B_3,5989,LowIncNoVehSenior
B_3,248,HighIncNoVehSenior
B_3,454043,HighIncVeh
B_4,334,LowIncNoVehSenior
B_4,58809,HighIncVeh
B_4,11697,HighIncVehSenior
B_4,6356,LowIncVehSenior
B_4,746,HighIncNoVehSenior
B_4,1118,HighIncNoVeh
B_4,60113,LowIncVeh
B_5,109,HighIncNoVeh
B_5,609,HighIncNoVehSenior
B_5,382747,LowIncVeh
B_5,6664,LowIncNoVehSenior
B_5,54903,LowIncVehSenior
B_5,10107,LowIncNoVeh
B_5,93000,HighIncVehSenior
B_5,853826,HighIncVeh
B_6,13110,HighIncVehSenior
B_6,172124,LowIncVeh
B_6,188789,HighIncVeh
B_6,21890,LowIncVehSenior
B_6,2302,LowIncNoVeh
B_6,2066,LowIncNoVehSenior
C_1,290,LowIncVehSenior
C_1,687,LowIncNoVehSenior
C_1,761,LowIncNoVeh
C_1,101,HighIncVehSenior
C_1,3984,LowIncVeh
C_1,1976,HighIncVeh
C_2,14170,LowIncNoVeh
C_2,26008,HighIncVehSenior
C_2,246643,HighIncVeh
C_2,3701,LowIncNoVehSenior
C_2,24842,LowIncVehSenior
C_2,1292,HighIncNoVeh
C_2,1729,HighIncNoVehSenior
C_2,160860,LowIncVeh
C_3,13714,LowIncVehSenior
C_3,4072,LowIncNoVeh
C_3,76528,HighIncVeh
C_3,16769,HighIncVehSenior
C_3,76794,LowIncVeh
C_3,2219,HighIncNoVeh
C_3,2380,LowIncNoVehSenior
C_4,5788,LowIncVeh
C_4,1161,LowIncVehSenior
C_4,6273,HighIncVehSenior
C_4,40113,HighIncVeh
C_5,225681,HighIncVeh
C_5,834,HighIncNoVehSenior
C_5,3214,LowIncNoVeh
C_5,27828,LowIncVehSenior
C_5,133295,LowIncVeh
C_5,46051,HighIncVehSenior
C_5,139,HighIncNoVeh
C_5,2071,LowIncNoVehSenior
C_6,12255,LowIncVeh
C_6,7143,LowIncVehSenior
C_6,8114,HighIncVehSenior
C_6,38534,HighIncVeh
C_6,739,LowIncNoVeh
C_6,58,LowIncNoVehSenior
