Mode,MicrotypeID,LaneDedicationPerLaneMile,ROWConstructionPerLaneMile,CostPerMeter
auto,A_1,682365.619370722,9328176.46617008,0.058082656480017245
auto,C_6,460791.899472257,4327070.5501616,0.03922240049330671
auto,C_4,471403.334707969,4424585.53162321,0.04012564111689528
auto,C_3,513308.661681844,4928226.90468457,0.043692603815794144
auto,C_2,532729.340430835,5914794.21882682,0.045345683309199254
auto,C_1,535872.773980551,5953383.77128554,0.04561325096772855
auto,B_6,264922.350010615,1338833.69996549,0.0225500720035334
auto,B_5,464669.616355291,4348265.77136342,0.03955247002091821
auto,B_4,678481.312854209,9294542.06218109,0.057752026045749805
auto,C_5,463115.603646004,4334584.78705145,0.03942019315380065
auto,B_2,535952.690189199,5949589.59104888,0.04562005339968338
auto,B_1,472609.260602248,4422806.34801608,0.0402282889899261
auto,A_6,665177.003725106,9166279.32850031,0.056619569200162714
auto,A_5,666387.99620586,9160735.48393685,0.05672264833876935
auto,A_4,541079.886883729,6021080.42377925,0.04605647809028913
auto,A_3,740800.737196743,9986682.08126881,0.06305662758686774
auto,A_2,676942.027301986,9267549.9634209,0.05762100274765798
auto,B_3,582430.848589635,6539707.28149337,0.049576253465398734
bike,C_3,341000.0,3003000.0,0.029025767561312893
bike,C_5,341000.0,3003000.0,0.029025767561312893
bike,B_5,341000.0,3003000.0,0.029025767561312893
bike,C_6,341000.0,3003000.0,0.029025767561312893
bike,C_4,341000.0,3003000.0,0.029025767561312893
bike,C_2,385000.0,4161000.0,0.03277102789180488
bike,A_4,385000.0,4161000.0,0.03277102789180488
bike,A_1,481000.0,6769000.0,0.040942504976514665
bike,B_2,385000.0,4161000.0,0.03277102789180488
bike,B_3,385000.0,4161000.0,0.03277102789180488
bike,A_3,481000.0,6769000.0,0.040942504976514665
bike,A_5,481000.0,6769000.0,0.040942504976514665
bike,A_2,481000.0,6769000.0,0.040942504976514665
bike,B_1,341000.0,3003000.0,0.029025767561312893
bike,C_1,385000.0,4161000.0,0.03277102789180488
bike,B_6,192000.0,1043000.0,0.016342954169419575
bike,B_4,481000.0,6769000.0,0.040942504976514665
bike,A_6,481000.0,6769000.0,0.040942504976514665
bus,C_6,460791.899472257,4327070.5501616,0.03922240049330671
bus,A_1,682365.619370722,9328176.46617008,0.058082656480017245
bus,A_2,676942.027301986,9267549.9634209,0.05762100274765798
bus,A_3,740800.737196743,9986682.08126881,0.06305662758686774
bus,A_4,541079.886883729,6021080.42377925,0.04605647809028913
bus,A_5,666387.99620586,9160735.48393685,0.05672264833876935
bus,A_6,665177.003725106,9166279.32850031,0.056619569200162714
bus,B_1,472609.260602248,4422806.34801608,0.0402282889899261
bus,B_2,535952.690189199,5949589.59104888,0.04562005339968338
bus,B_4,678481.312854209,9294542.06218109,0.057752026045749805
bus,B_5,464669.616355291,4348265.77136342,0.03955247002091821
bus,B_6,264922.350010615,1338833.69996549,0.0225500720035334
bus,C_1,535872.773980551,5953383.77128554,0.04561325096772855
bus,C_2,532729.340430835,5914794.21882682,0.045345683309199254
bus,C_3,513308.661681844,4928226.90468457,0.043692603815794144
bus,C_4,471403.334707969,4424585.53162321,0.04012564111689528
bus,C_5,463115.603646004,4334584.78705145,0.03942019315380065
bus,B_3,582430.848589635,6539707.28149337,0.049576253465398734
