Mode,MicrotypeID,LaneDedicationPerLaneMile,ROWConstructionPerLaneMile
auto,1,535872.773980551,5953383.77128554
auto,2,532729.340430835,5914794.21882682
auto,3,513308.661681844,4928226.90468457
auto,4,471403.334707969,4424585.53162321
auto,5,463115.603646004,4334584.78705145
auto,6,460791.899472257,4327070.5501616
bike,4,341000.0,3003000.0
bike,6,341000.0,3003000.0
bike,5,341000.0,3003000.0
bike,3,341000.0,3003000.0
bike,1,385000.0,4161000.0
bike,2,385000.0,4161000.0
bus,6,460791.899472257,4327070.5501616
bus,4,471403.334707969,4424585.53162321
bus,2,532729.340430835,5914794.21882682
bus,1,535872.773980551,5953383.77128554
bus,5,463115.603646004,4334584.78705145
bus,3,513308.661681844,4928226.90468457
