MicrotypeID,CapCostPerBike,DailyOpCostPerBike,CapCostPerDock,DailyOpCostPerDock,DocksPerBike,DocksPerStation,PerStartCost,PerMinuteCost,StationDensity,SpeedInMetersPerSecond,VehicleSize,DedicatedLanePreference,PerMileCost,BikesPerCapita
A_5,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.28167725,4.2,0.2,0.7,5.63269,0.28167725
A_2,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.54507924,4.2,0.2,0.7,5.63269,0.54507924
A_3,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.8856624,4.2,0.2,0.7,5.63269,0.8856624
A_1,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.97491752,4.2,0.2,0.7,5.63269,0.97491752
A_4,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.46933499,4.2,0.2,0.7,5.63269,0.46933499
A_6,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.0,4.2,0.2,0.7,5.63269,0.0
B_6,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.3526478,4.2,0.2,0.7,5.63269,0.3526478
B_3,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.3423013,4.2,0.2,0.7,5.63269,0.3423013
B_5,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.16675834,4.2,0.2,0.7,5.63269,0.16675834
B_1,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.23591556,4.2,0.2,0.7,5.63269,0.23591556
B_2,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.18278125,4.2,0.2,0.7,5.63269,0.18278125
B_4,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.08257888,4.2,0.2,0.7,5.63269,0.08257888
C_5,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.29427158,4.2,0.2,0.7,5.63269,0.29427158
C_3,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.44948968,4.2,0.2,0.7,5.63269,0.44948968
C_4,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.32302314,4.2,0.2,0.7,5.63269,0.32302314
C_6,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.14216773,4.2,0.2,0.7,5.63269,0.14216773
C_2,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.36189441,4.2,0.2,0.7,5.63269,0.36189441
C_1,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.59395651,4.2,0.2,0.7,5.63269,0.59395651
D_6,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.1420815,4.2,0.2,0.7,5.63269,0.1420815
D_5,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.33776425,4.2,0.2,0.7,5.63269,0.33776425
D_3,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.73275012,4.2,0.2,0.7,5.63269,0.73275012
D_2,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.2256556,4.2,0.2,0.7,5.63269,0.2256556
D_4,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,3.10091327,4.2,0.2,0.7,5.63269,3.10091327
D_1,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.36157507,4.2,0.2,0.7,5.63269,0.36157507
E_6,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,3.58971988,4.2,0.2,0.7,5.63269,3.58971988
E_5,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.0,4.2,0.2,0.7,5.63269,0.0
E_4,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,1.10405371,4.2,0.2,0.7,5.63269,1.10405371
E_3,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.0,4.2,0.2,0.7,5.63269,0.0
E_2,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.0,4.2,0.2,0.7,5.63269,0.0
E_1,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.0,4.2,0.2,0.7,5.63269,0.0
F_2,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.27352745,4.2,0.2,0.7,5.63269,0.27352745
F_5,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.12767944,4.2,0.2,0.7,5.63269,0.12767944
F_6,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.0,4.2,0.2,0.7,5.63269,0.0
F_4,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.09311244,4.2,0.2,0.7,5.63269,0.09311244
F_3,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.29424519,4.2,0.2,0.7,5.63269,0.29424519
F_1,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,0.1925133,4.2,0.2,0.7,5.63269,0.1925133
